latitude,longitude,r,ssr,ssrc,u100,v100,t2m,tcc
90,0,94.0751,6744576,11564544,0.02798462,-0.029088974,273.7848,0.89868164
90,0,97.22728,6511104,14734336,-0.022369385,-0.013594627,273.9203,0.9858572
90,0,95.771675,3562496,8041472,-0.20541382,-0.020774841,273.11798,0.9732361
90,0,95.32638,350585.56,839865.56,0.091156006,-0.010612488,268.74255,0.98481774
90,0,94.72861,8.64E-11,0,-0.035339355,0.13038158,257.8967,0.9717493
90,0,93.90722,8.64E-11,0,0.073272705,-0.011245728,255.74634,0.95429707
90,0,99.96533,8.64E-11,0,-0.04270935,0.029226303,251.11473,0.96718675
90,0,97.99246,8.64E-11,0,-0.29234314,-0.07414627,249.271,0.74062824
90,0,108.0216,8.64E-11,0,-0.035654068,-0.02107811,243.75313,0.8609866
90,0,81.74127,124416.19,173540.06,-0.1663971,-0.096232414,248.75317,0.7738581
90,0,98.13885,1586688,2732544,0.110839844,0.13171673,257.3147,0.96389484
90,0,88.52134,4007936,6204928,0.089279175,-0.016204834,265.1488,0.9288236
90,0,83.47702,9048064,12168192,0.046829224,0.098358154,272.71533,0.78543675
90,0,96.23964,6542336,13980160,-0.020355225,0.049453735,273.96848,0.9610901
90,0,90.2144,4886016,8309760,0.10722351,0.036099434,272.0187,0.8920297
90,0,95.767586,436200.88,866813.8,-0.06562805,-0.010004997,268.0228,0.96009827
90,0,96.68184,8.64E-11,0,-0.091049194,0.019276619,257.1034,0.9791939
90,0,97.997856,8.64E-11,0,-0.06694031,0.043701172,251.90154,0.9714963
90,0,102.19838,8.64E-11,0,-0.16670609,-0.04505539,252.88838,0.9575686
90,0,101.28984,8.64E-11,0,0.069457054,0.07296753,251.47055,0.92507327
90,0,99.69153,8.64E-11,0,-0.021560669,0.06352234,251.41057,0.9043063
90,0,103.78137,102833.5,162950.62,-0.07696533,-0.020236969,251.5063,0.973106
90,0,96.028625,1788928,2826752,0.062698364,0.05592251,256.83734,0.9546993
90,0,87.64276,4445184,6288896,0.13397217,0.026680946,265.0227,0.8970776
90,0,88.15512,8261632,12282368,0.12887573,-0.046502113,272.8215,0.86144453
90,0,96.08438,6946816,13918720,-0.16098022,-0.023529053,273.9532,0.9663269
90,0,95.90328,3687936,7879168,-0.11495972,-0.029129028,273.06244,0.96435547
90,0,95.28525,445678.06,902425.56,0.21383667,0.11242294,267.18082,0.98976135
90,0,95.81806,8.64E-11,0,-0.05633545,0.000610352,260.7721,0.9816731
90,0,100.40724,8.64E-11,0,-0.028007507,0.06453037,252.38362,0.9268377
90,0,97.868004,8.64E-11,0,-0.13589478,0.05838585,252.46095,0.9406075
90,0,96.12444,8.64E-11,0,-0.15563011,-0.20133972,247.86041,0.85871464
90,0,96.33468,8.64E-11,0,0.000915527,0.03554821,250.77211,0.9614138
90,0,98.4841,127459.19,177389.69,-0.046035767,-0.03696823,253.26758,0.9866711
90,0,92.096924,1600512,2902528,0.03579712,0.06653118,260.42987,0.9832779
90,0,82.15851,4836864,6948352,0.00151062,-0.007843971,263.5517,0.9081554
90,0,94.26451,6858240,11665408,-0.00958252,0.004201889,273.63458,0.89472234
90,0,97.90996,7022592,14149632,-0.11999512,-0.055099487,273.9834,0.96687216
90,0,96.59175,3760128,8133120,-0.19000244,-0.04374695,272.82385,0.9659694
90,0,95.50093,414310.7,896465.2,-0.02142334,-0.0810194,264.69025,0.9695425
90,0,96.12344,8.64E-11,0,-0.0493927,-0.081944466,259.76077,0.9525654
90,0,98.03109,8.64E-11,0,-0.038726807,-0.021336555,249.93861,0.8472504
90,0,96.22543,8.64E-11,0,-0.21014118,-0.018857002,246.08252,0.7155067
90,0,95.98012,8.64E-11,0,-0.08136749,0.047055244,250.64105,0.8609744
90,0,97.287895,8.64E-11,0,-0.07725525,0.056394577,251.71616,0.8366666
90,0,100.1739,128686.69,179561.44,-0.044555664,0.08838844,251.45749,0.9023846
90,0,99.1256,1731584,2750464,-0.044403076,-0.06570816,255.00029,0.9319862
90,0,92.56503,4220928,6178304,-0.099487305,-0.030670166,266.87775,0.85557
90,0,89.864746,7482368,11395072,-0.03050232,0.052313805,273.425,0.84976655
90,0,97.12586,7217664,14944768,0.068603516,-0.025182724,273.78897,0.9613476
90,0,91.86337,4581888,9091072,0.095947266,0.07423115,272.56134,0.91041565
90,0,93.046486,639310.8,1379936,0.14852905,0.07893562,268.49554,0.97662354
90,0,90.44292,8.64E-11,0,0.007659912,0.043560028,262.52313,0.9711177
90,0,94.72186,8.64E-11,0,-0.027175903,0.21996975,262.28638,0.9694661
90,0,92.7253,8.64E-11,0,0.014648438,0.08188534,256.15698,0.9540335
90,0,95.841,8.64E-11,0,-0.08864021,0.055984497,252.02429,0.980554
90,0,99.036934,8.64E-11,0,0.07588196,0.06715298,248.13965,0.91941446
90,0,99.98453,126161.56,177623.12,0.029418945,0.123680115,248.96715,0.8961473
90,0,99.611046,1828352,2733568,-0.053863525,-0.072525024,255.00009,0.84852016
90,0,90.50285,4360192,6260224,-0.05871582,-0.03779602,263.471,0.86725765
90,0,90.14674,7969792,11788800,0.024917603,-0.10841656,273.4834,0.76542664
90,0,94.77079,6753280,13640704,-0.023010254,-0.03711605,274.00385,0.9556812
90,0,94.190155,4237824,8996352,0.14793396,0.113903046,272.91287,0.96102905
90,0,93.76273,603703.7,1176106.6,0.07321167,-0.024899483,268.4041,0.9820862
90,0,97.63458,8.64E-11,0,-0.043136597,-0.023691177,262.09686,0.9926631
90,0,91.22327,8.64E-11,0,-0.1742096,-0.06494522,254.4172,0.96663505
90,0,98.57302,8.64E-11,0,-0.19175339,0.069589615,252.8116,0.97602206
90,0,100.18324,8.64E-11,0,-0.1424284,-0.043899536,247.99716,0.8242101
90,0,94.57661,8.64E-11,0,-0.09561157,-0.1262579,254.6451,0.8235639
90,0,97.27664,113938,166334.56,-0.18386841,0.033823013,247.54768,0.9017114
90,0,96.98387,1866240,2708992,-0.031188965,-0.08115959,253.9917,0.882669
90,0,89.41943,3901952,6274048,-0.048553467,-0.05467987,267.40228,0.94984657
90,0,89.692566,7188480,11595264,-0.14212036,0.08260059,273.12262,0.8896974
90,0,94.99264,7710720,14106112,-0.059005737,-0.013103485,273.96082,0.9167328
90,0,96.00608,3457024,7885312,-0.09614563,-0.010055542,273.38394,0.9775238
90,0,95.06718,545542.4,1113952,-0.05291748,0.023846626,267.59406,0.98494
90,0,93.5836,8.64E-11,0,0.033050537,-0.10518932,264.99103,0.9921935
90,0,91.12416,8.64E-11,0,-0.12358093,-0.001883507,255.91605,0.9713288
90,0,96.01451,8.64E-11,0,-0.038360596,0.09784317,251.56065,0.97630626
90,0,103.1384,8.64E-11,0,0.008687019,-0.09725475,245.55225,0.95796156
90,0,101.41443,8.64E-11,0,0.106292725,0.02999115,246.22495,0.9577486
90,0,105.45253,150533.81,171488,-0.28315735,-0.114593506,244.78732,0.88476384
90,0,98.90222,1819136,2723840,-0.13061523,-0.08569431,255.72617,0.92648506
90,0,92.748405,3961856,6321152,-0.27886963,-0.0791626,267.32465,0.88279885
90,0,94.41454,6208512,11322880,-0.112960815,-0.018918037,273.71692,0.91965777
90,0,97.70988,6984192,14305792,-0.082611084,-0.10964966,274.05103,0.97932434
90,0,95.334656,4031488,8333824,0.044403076,-0.001983643,272.98328,0.93688965
90,0,95.018974,595494.4,1161124.2,0.061065674,0.017922401,268.6371,0.97938514
90,0,96.48031,8.64E-11,0,-0.09642029,0.010417938,260.24786,0.980042
90,0,100.31198,8.64E-11,0,-0.11627197,-0.07031727,251.93031,0.9009516
90,0,98.760086,8.64E-11,0,-0.15100288,0.08344078,250.39412,0.8955413
90,0,101.32625,8.64E-11,0,-0.27482033,0.006515503,247.01942,0.91894555
90,0,101.77312,8.64E-11,0,-0.10951233,0.09673309,246.25792,0.74035347
90,0,100.05876,122174.625,187640.75,-0.08833313,0.11706638,246.71725,0.9056043
90,0,97.365555,1685504,2952192,0.11557007,0.15705872,256.58112,0.97730196
90,0,89.85353,3914240,6352384,-0.0856781,0.011053085,267.11526,0.90993965
90,0,93.8118,6307328,11265536,-0.08369446,-0.022266388,273.73727,0.9287648
90,0,99.28036,6377472,14798336,-0.15184021,-0.023386955,274.16138,0.9977829
90,0,97.29744,3653632,8587776,-0.16793823,-0.064359665,273.5343,0.9816575
90,0.25,103.26296,8.64E-11,0,0.041366577,0.0777235,243.49611,0.90456456
90,0.25,91.62923,8.64E-11,0,-0.12639904,0.12836361,246.39061,0.89045036
90,0.25,97.7593,146285.19,164442.75,-0.29414368,0.085632324,245.14973,0.7526437
90,0.25,95.58154,1546240,2701312,0.1873169,0.1390419,258.1126,0.9719689
90,0.25,91.4948,4299776,6127616,0.007873535,-0.061138153,267.53162,0.8767754
